name,scenario_nr,nr_of_nodes,energy,packets_rcv,packets_snt,ratio,model,number_of_gateways,areaX
scenario-1-200,1.0,200.0,32.71295163544712,70.0,200.0,0.35,5.0,1.0,750.0
scenario-1-600,1.0,600.0,34.52952545161946,160.0,600.0,0.26666666666666666,5.0,1.0,750.0
scenario-1-1000,1.0,1000.0,34.9090879521514,201.0,1000.0,0.201,5.0,1.0,750.0
scenario-2-200,2.0,200.0,32.94406968107039,82.0,200.0,0.41,2.0,2.0,750.0
scenario-2-600,2.0,600.0,33.61816656216528,305.0,600.0,0.5083333333333333,2.0,2.0,750.0
scenario-2-1000,2.0,1000.0,33.764444414799215,483.0,1000.0,0.483,2.0,2.0,750.0
scenario-3-200,3.0,200.0,32.71295163544712,70.0,200.0,0.35,5.0,1.0,750.0
scenario-3-600,3.0,600.0,34.5260636976159,154.0,600.0,0.25666666666666665,5.0,1.0,750.0
scenario-3-1000,3.0,1000.0,34.97911016913474,214.0,1000.0,0.214,5.0,1.0,750.0
scenario-4-200,4.0,200.0,32.74008068770568,82.0,200.0,0.41,5.0,2.0,750.0
scenario-4-600,4.0,600.0,33.62104033894554,303.0,600.0,0.505,5.0,2.0,750.0
scenario-4-1000,4.0,1000.0,33.543540095336844,505.0,1000.0,0.505,5.0,2.0,750.0
scenario-5-200,5.0,200.0,33.567078735695475,0.0,200.0,0.0,2.0,1.0,10000.0
scenario-5-600,5.0,600.0,35.420091487830575,2.0,600.0,0.0033333333333333335,2.0,1.0,10000.0
scenario-5-1000,5.0,1000.0,35.70702456057219,1.0,1000.0,0.001,2.0,1.0,10000.0
scenario-6-200,6.0,200.0,33.567078735695475,0.0,200.0,0.0,2.0,2.0,10000.0
scenario-6-600,6.0,600.0,35.30598901670546,5.0,600.0,0.008333333333333333,2.0,2.0,10000.0
scenario-6-1000,6.0,1000.0,35.61553230483018,14.0,1000.0,0.014,2.0,2.0,10000.0
scenario-7-200,7.0,200.0,33.48362297429076,1.0,200.0,0.005,5.0,1.0,10000.0
scenario-7-600,7.0,600.0,35.417731823187864,5.0,600.0,0.008333333333333333,5.0,1.0,10000.0
scenario-7-1000,7.0,1000.0,35.86688956265515,4.0,1000.0,0.004,5.0,1.0,10000.0
scenario-8-200,8.0,200.0,33.48362297429076,1.0,200.0,0.005,5.0,2.0,10000.0
scenario-8-600,8.0,600.0,35.37611988062603,10.0,600.0,0.016666666666666666,5.0,2.0,10000.0
scenario-8-1000,8.0,1000.0,35.76750817752695,23.0,1000.0,0.023,5.0,2.0,10000.0
